tier,dominio,frase,busca_mes_us,cpc_usd,status,confianca,acao,observacao
B,leadsformarketingagencies.com,leads for marketing agencies,390,64.1,"nunca visto no WHOIS, DNS livre",alta,considerar,Casa com a página white-label-ppc
C,googleadsforbusiness.com,google ads for business,5400,43.45,"expirado, DNS livre",alta,avaliar,"Volume enorme, mas parte é DIY/navegacional"
C,googleadslocal.com,google ads local,1900,6.92,"expirado, DNS livre",alta,avaliar,CPC baixo; confunde com Local Services Ads
C,googleadsmanagers.com,google ads managers,1000,54.32,"expirado, DNS livre",alta,avaliar,Plural; perto demais do nome do produto do Google
C,facebookadstargeting.com,facebook ads targeting,720,46.59,"expirado, DNS livre (147 RD)",alta,avaliar,Maior nº de links; risco de marca (Facebook); intenção meio informativa
C,facebookadsforbusiness.com,facebook ads for business,3600,23.55,"expirado, DNS livre",alta,avaliar,Risco de marca (Facebook)
C,googleadsforcoaches.com / linkedinadsforcoaches.com / youtubeadsforcoaches.com / tiktokadsforcoaches.com,(nicho coaches),,,"expirados, DNS livres",alta,avaliar,Conjunto de nicho 'coaches' pronto
C,"googleadsguru.com, googleadsmadeeasy.com, googleadsmaster.com, googleadsecrets.com, googleadsuccess.com, googleadsppc.com, googleadsandseo.com, googleadstoday.com",(brandables),,,"expirados, DNS livres",alta,ignorar,Sem frase de busca; só marca
BACKORDER,ppcconsultant.com,ppc consultant,210,24.39,"registrado, vence 2026-10-14 (DropCatch)",—,backorder,Drop real ≈ 60-75 dias após vencer; concorrido
BACKORDER,googleadsexpert.com,google ads expert,880,127.43,"registrado, vence 2026-11-27",—,backorder,Melhor frase/CPC da lista
BACKORDER,growthmarketingconsultant.com,growth marketing consultant,590,22.66,"registrado, vence 2026-10-07",—,backorder,Vence em 2 semanas
BACKORDER,ppcmarketingagency.com,ppc marketing agency,590,50.29,"registrado, vence 2026-11-16 (59 RD)",—,backorder,
BACKORDER,ppcconsultants.com,ppc consultants,,,"registrado, vence 2026-11-16",—,backorder,Registrado desde 2000
BACKORDER,paidsearchconsultant.com,paid search consultant,90,21.83,"registrado, vence 2026-12-04",—,backorder,
BACKORDER,googleadsforlawyers.com,google ads for lawyers,,,"registrado, vence 2026-11-21",—,backorder,Página law-firm-ppc existe no diwizi
BACKORDER,googleadsfordoctors.com,google ads for doctors,,,"registrado, vence 2026-10-18",—,backorder,Páginas healthcare existem no diwizi
BACKORDER,googleadsforroofers.com / googleadsaudit.com / fbadsmanager.com,(client hold),,,"registrado, em client_hold (não renovado)",—,monitorar,Podem cair a qualquer momento
EXCLUIDO,"metadsmanager.com, facebookadvertisingmanager.com, admanagerfacebook.com, instagramadsmanager.com, linkedinadsmanager.com, snapchatadsmanager.com, youtubeadsmanager.com, amazonadsmanager.com, googlecampaignmanager.com, googleadsmanageraccounts.com, facebookbusinessmanager.com",(nomes de produto),>10.000,,livres,—,não comprar,Busca navegacional pela ferramenta + risco de UDRP/marca; não é cliente procurando consultor
EXCLUIDO,"amazonppcprofessionals.com, amazonppcmanagement.com etc.",amazon ppc,1300,27.45,parte livre,—,não comprar,Seu site diz que não atende Amazon Ads
EXCLUIDO,"*seoexpert*, *seoconsultant* (dezenas)",seo consultant,,,livres,—,não comprar,Fora do posicionamento; quase todos com cidade no nome
